,EdLevel,Country,YearsCodePro,Salary
1510,Master’s degree,Germany,7.0,85397.0
1511,Post grad,United States of America,2.0,123000.0
1512,Master’s degree,Germany,10.0,97288.0
1524,Master’s degree,United States of America,7.0,110000.0
1525,Master’s degree,Canada,10.0,90758.0
1527,Master’s degree,Germany,12.0,69183.0
1531,Bachelor’s degree,Spain,7.0,32429.0
1534,Bachelor’s degree,United States of America,31.0,82000.0
1537,Bachelor’s degree,United States of America,5.0,76000.0
1540,Bachelor’s degree,United States of America,42.0,70000.0
1549,Less than a Bachelors,Poland,9.0,28860.0
1551,Bachelor’s degree,India,1.0,25131.0
1552,Master’s degree,Russian Federation,6.0,28308.0
1555,Less than a Bachelors,United Kingdom of Great Britain and Northern Ireland,7.0,55582.0
1558,Less than a Bachelors,United Kingdom of Great Britain and Northern Ireland,2.0,31020.0
1559,Master’s degree,Russian Federation,11.0,43404.0
1560,Bachelor’s degree,United States of America,13.0,97000.0
1562,Master’s degree,Italy,3.0,25944.0
1564,Master’s degree,Poland,7.0,15192.0
1565,Master’s degree,India,10.0,25131.0
